solvent_smiles,solvent
CC(Cl)C(F)(Cl)C(F)(Cl)C(F)(Cl)Cl,"1,2,3-trifluoropentachloropentane"
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)NC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodibutylamine
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodibutyl ether
COC,dimethyl ether
Cc1ccc(O)cc1,p-cresol
CC(F)C(O)(F)F,trifluoropropanol
OCCCCO,"1,4-Butanediol"
OC(F)(F)C(F)(F)C(F)F,hexafluoropropanol
C=C(Cl)Cl,dichloroethylene
C[Si](C)(C)O[Si](C)(C)C,hexamethyldisiloxane
CCCCCCCl,chlorohexane
CC(Cl)Cl,dichloroethane
Oc1ccccc1Cl,chlorophenol
OC(O)C(Cl)(Cl)Cl,chloral hydrate
O=P(O)(O)O,phosphoric acid
O=C(O)C(Cl)(Cl)Cl,trichloroacetic acid
ClC(Cl)C(Cl)Cl,"1,1,2,2-tetrachloroethane"
ClCC(Cl)Cl,"1,1,2-Trichloroethane"
O=[N+]([O-])c1ccccc1O,nitrophenols
O=C(O)CCl,chloroacetic acid
NC(=O)C(F)(F)F,trifluoroacetamide
BrC(Br)Br,bromoform
CC(O)CC(C)(C)O,"2-Methyl-2,4-pentanediol"
O=S1(=O)CCCC1,sulfolane
CCC(O)CC,"3-pentanol,"
O=C(c1ccccc1)c1ccccc1,benzophenone
